External ID,A1 Attention,A1 Addressee,A1 Address 1,A1 City,A1 State,A1 Zip,A1 Country,A1 Default Shipping,A1 Default Billing,A2 Attention,A2 Addressee,A2 Address 1,A2 City,A2 State,A2 Zip,A2 Country,A2 Default Shipping,A2 Default Billing
NORDRACK-5501,Store # 5501,The Shops at SunVet Rack,"5801 Sunrise Hwy, Ste B8-700",Holbrook,NY,11741,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-5502,Store # 5502,Smith Haven Plaza Rack,2041 Smith Haven Plz,Lake Grove,NY,11755,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-5511,Store # 5511,Gardiner Manor Mall Rack,854 Sunrise Hwy,Bay Shore,NY,11706,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-5521,Store # 5521,Manalapan Commons Rack,"13 US-9, Space 1A",Manalapan Township,NJ,07726,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-5522,Store # 5522,Deptford Town Center Rack,1775 Deptford Center Rd,Deftford,NJ,08096,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-5523,Store # 5523,Willow Ridge Rack,"740 NJ Rte 73 S, Ste 740",Marlton,NJ,08053,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-5524,Store # 5524,Brunswick Square Rack,"755 State Rte 18, Ste N102",East Brunswick,NJ,08816,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-5525,Store # 5525,Interstate Shopping Center Rack,255 Interstate Shop Center,Ramsey,NJ,07446,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-5531,Store # 5531,Royal Ridge Center Rack,213 Daniel Webster Hwy,Nashua,NH,03060,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-5543,Store # 5543,Mansfield Crossing Rack,280 School St Ste I-100,Mansfield,MA,02048,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-5548,Store # 5548,Colony Place Rack,242 Colony Pl,Plymouth,MA,02360,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-5549,Store # 5549,Landing at Hyannis Rack,790 Lyannough Rd,Hyannis,MA,02601,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-6601,Store # 6601,Settlers Market Rack,"5225 Settlers Market Blvd, Ste 180",Williamsburg,VA,23188,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-6621,Store # 6621,Main Street At Exton Rack,"108 Bartlett Ave, Ste 100",Exton,PA,19341,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-6622,Store # 6622,Promenade at Granite Run Rack,"1103 W. Baltimore Pike, Ste E",Media,PA,19063,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-6626,Store # 6626,Congressional Plaza Rack,1683 Rockville Pike,Rockville,MD,20852,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-7742,Store # 7742,The Plaza at Citrus Park Rack,12601 Citrus Plaza Dr,Tampa,FL,33625,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-7751,Store # 7751,Mooresville crossing Rack,627 River Hwy,Mooresville,NC,28117,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-7752,Store # 7752,Triangle Town Place Rack,"3604 Sumner Blvd, Ste 104",Raleigh,NC,27616,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-7753,Store # 7753,Cool Springs Market Rack,2000 Mallory Ln,Franklin,TN,37067,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-7754,Store # 7754,Sycamore Commons Rack,"10530 NE Parkway, Ste K",Matthews,NC,28105,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-7755,Store # 7755,Park West Village Rack,3121 Market Center Dr,Morrisville,NC,27560,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-7756,Store # 7756,Pinnacle at Turkey Creek Rack,11417 Parkside Dr,Farragut,TN,37934,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-7760,Store # 7760,Pompano Citi Centere Rack,1440 NE 23rd St,Pompano Beach,FL,32609,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-7761,Store # 7761,South Beach Regional Rack,3818 3rd St S,Jacksonville Beach,FL,32250,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-7762,Store # 7762,Bell Tower Shops Rack,"13499 S Cleveland Ave, Ste 200",Ft. Meyers,FL,33907,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-7763,Store # 7763,Pine Ridge Square Rack,4631 N University Dr,Coral Springs,FL,33067,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-7764,Store # 7764,The Avenue Viera Rack,"2291 Town Center Ave, Ste 101",Melbourne,FL,32940,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-7766,Store # 7766,Lakeside Village Rack,1500 Town Center Dr,Lakeland,FL,33803,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-7767,Store # 7767,Coconut Point Rack,8020 Mediterranean Dr,Estero,FL,33928,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-7768,Store # 7768,Lake Nona West Rack,6015 Lake Nona Blvd,Orlando,FL,32827,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-7769,Store # 7769,Sarasota Pavillion Rack,6567 S Tamiami Trl,Sarasota,FL,34231,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-7771,Store # 7771,Johns Creek Town Center Rack,"3630 Peachtree Pkwy, Ste 100",Suwanee,GA,30024,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-7773,Store # 7773,Atlantic Station Rack,1374 Atlantic Dr NW,Atlanta,GA,30363,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
NORDRACK-7785,Store # 7785,New Towne Plaza Rack,44740 Ford Rd,Canton,MI,48187,US,T,F,Accounts Payable,Nordstrom,P.O. Box 870,Seattle,WA,98111,US,F,T
